customer_id,customer_name,country
17850,Customer_1,United Kingdom
13047,Customer_2,United Kingdom
12583,Customer_3,France
13748,Customer_4,United Kingdom
15100,Customer_5,United Kingdom
15291,Customer_6,United Kingdom
14688,Customer_7,United Kingdom
17809,Customer_8,United Kingdom
15311,Customer_9,United Kingdom
14527,Customer_10,United Kingdom
16098,Customer_11,United Kingdom
18074,Customer_12,United Kingdom
17420,Customer_13,United Kingdom
16029,Customer_14,United Kingdom
16250,Customer_15,United Kingdom
12431,Customer_16,Australia
17511,Customer_17,United Kingdom
17548,Customer_18,United Kingdom
13705,Customer_19,United Kingdom
13747,Customer_20,United Kingdom
13408,Customer_21,United Kingdom
13767,Customer_22,United Kingdom
17924,Customer_23,United Kingdom
13448,Customer_24,United Kingdom
15862,Customer_25,United Kingdom
15513,Customer_26,United Kingdom
12791,Customer_27,Netherlands
16218,Customer_28,United Kingdom
14045,Customer_29,United Kingdom
14307,Customer_30,United Kingdom
17908,Customer_31,United Kingdom
17920,Customer_32,United Kingdom
12838,Customer_33,United Kingdom
13255,Customer_34,United Kingdom
16583,Customer_35,United Kingdom
18085,Customer_36,United Kingdom
13758,Customer_37,United Kingdom
13694,Customer_38,United Kingdom
15983,Customer_39,United Kingdom
14849,Customer_40,United Kingdom
17968,Customer_41,United Kingdom
16210,Customer_42,United Kingdom
17897,Customer_43,United Kingdom
17377,Customer_44,United Kingdom
16552,Customer_45,United Kingdom
17181,Customer_46,United Kingdom
17951,Customer_47,United Kingdom
14729,Customer_48,United Kingdom
12748,Customer_49,United Kingdom
15012,Customer_50,United Kingdom
12868,Customer_51,United Kingdom
17572,Customer_52,United Kingdom
14078,Customer_53,United Kingdom
14001,Customer_54,United Kingdom
12662,Customer_55,Germany
15525,Customer_56,United Kingdom
14237,Customer_57,United Kingdom
17905,Customer_58,United Kingdom
15485,Customer_59,United Kingdom
12433,Customer_60,Norway
16955,Customer_61,United Kingdom
15350,Customer_62,United Kingdom
15605,Customer_63,United Kingdom
18144,Customer_64,United Kingdom
15922,Customer_65,United Kingdom
14594,Customer_66,United Kingdom
15165,Customer_67,United Kingdom
14911,Customer_68,EIRE
16456,Customer_69,United Kingdom
17841,Customer_70,United Kingdom
12472,Customer_71,Germany
17346,Customer_72,United Kingdom
17643,Customer_73,United Kingdom
17873,Customer_74,United Kingdom
13093,Customer_75,United Kingdom
12921,Customer_76,United Kingdom
13468,Customer_77,United Kingdom
17760,Customer_78,United Kingdom
16928,Customer_79,United Kingdom
16048,Customer_80,United Kingdom
16274,Customer_81,United Kingdom
14496,Customer_82,United Kingdom
14696,Customer_83,United Kingdom
16539,Customer_84,United Kingdom
17025,Customer_85,United Kingdom
13777,Customer_86,United Kingdom
17690,Customer_87,United Kingdom
12947,Customer_88,United Kingdom
17460,Customer_89,United Kingdom
18229,Customer_90,United Kingdom
14142,Customer_91,United Kingdom
17069,Customer_92,United Kingdom
13065,Customer_93,United Kingdom
14606,Customer_94,United Kingdom
16835,Customer_95,United Kingdom
15235,Customer_96,United Kingdom
13576,Customer_97,United Kingdom
18011,Customer_98,United Kingdom
13090,Customer_99,United Kingdom
15694,Customer_100,United Kingdom
14741,Customer_101,United Kingdom
13715,Customer_102,United Kingdom
14092,Customer_103,United Kingdom
17732,Customer_104,United Kingdom
12855,Customer_105,United Kingdom
15752,Customer_106,United Kingdom
17855,Customer_107,United Kingdom
14047,Customer_108,United Kingdom
17925,Customer_109,United Kingdom
13941,Customer_110,United Kingdom
17017,Customer_111,United Kingdom
14135,Customer_112,United Kingdom
13108,Customer_113,United Kingdom
12471,Customer_114,Germany
15601,Customer_115,United Kingdom
13418,Customer_116,United Kingdom
14766,Customer_117,United Kingdom
15658,Customer_118,United Kingdom
14388,Customer_119,United Kingdom
14901,Customer_120,United Kingdom
18041,Customer_121,United Kingdom
15955,Customer_122,United Kingdom
15070,Customer_123,United Kingdom
16244,Customer_124,United Kingdom
15111,Customer_125,United Kingdom
14390,Customer_126,United Kingdom
16546,Customer_127,United Kingdom
15260,Customer_128,United Kingdom
13305,Customer_129,United Kingdom
14491,Customer_130,United Kingdom
14060,Customer_131,United Kingdom
15923,Customer_132,United Kingdom
16752,Customer_133,United Kingdom
17287,Customer_134,United Kingdom
15363,Customer_135,United Kingdom
12915,Customer_136,United Kingdom
15544,Customer_137,United Kingdom
15738,Customer_138,United Kingdom
16042,Customer_139,United Kingdom
17381,Customer_140,United Kingdom
15827,Customer_141,United Kingdom
14180,Customer_142,United Kingdom
13117,Customer_143,United Kingdom
16916,Customer_144,United Kingdom
17964,Customer_145,United Kingdom
14466,Customer_146,United Kingdom
17235,Customer_147,United Kingdom
16510,Customer_148,United Kingdom
17802,Customer_149,United Kingdom
15107,Customer_150,United Kingdom
17976,Customer_151,United Kingdom
14449,Customer_152,United Kingdom
15838,Customer_153,United Kingdom
16781,Customer_154,United Kingdom
17547,Customer_155,United Kingdom
13491,Customer_156,United Kingdom
16186,Customer_157,United Kingdom
17685,Customer_158,United Kingdom
17581,Customer_159,United Kingdom
15732,Customer_160,United Kingdom
13138,Customer_161,United Kingdom
15823,Customer_162,United Kingdom
17567,Customer_163,United Kingdom
15061,Customer_164,United Kingdom
16203,Customer_165,United Kingdom
15640,Customer_166,United Kingdom
15574,Customer_167,United Kingdom
16770,Customer_168,United Kingdom
17838,Customer_169,United Kingdom
17228,Customer_170,United Kingdom
14829,Customer_171,United Kingdom
17412,Customer_172,United Kingdom
14031,Customer_173,United Kingdom
14775,Customer_174,United Kingdom
12971,Customer_175,United Kingdom
15834,Customer_176,United Kingdom
17659,Customer_177,United Kingdom
15299,Customer_178,United Kingdom
15646,Customer_179,United Kingdom
13958,Customer_180,United Kingdom
14443,Customer_181,United Kingdom
14156,Customer_182,EIRE
16995,Customer_183,United Kingdom
13402,Customer_184,United Kingdom
18168,Customer_185,United Kingdom
17757,Customer_186,United Kingdom
14625,Customer_187,United Kingdom
13011,Customer_188,United Kingdom
13798,Customer_189,United Kingdom
15384,Customer_190,United Kingdom
14264,Customer_191,United Kingdom
13295,Customer_192,United Kingdom
16754,Customer_193,United Kingdom
16634,Customer_194,United Kingdom
18239,Customer_195,United Kingdom
14576,Customer_196,United Kingdom
13145,Customer_197,United Kingdom
14395,Customer_198,United Kingdom
14865,Customer_199,United Kingdom
15093,Customer_200,United Kingdom
12738,Customer_201,Germany
16150,Customer_202,United Kingdom
17552,Customer_203,United Kingdom
14236,Customer_204,United Kingdom
17961,Customer_205,United Kingdom
14573,Customer_206,United Kingdom
17135,Customer_207,United Kingdom
17396,Customer_208,United Kingdom
14213,Customer_209,United Kingdom
12967,Customer_210,United Kingdom
12686,Customer_211,France
14679,Customer_212,United Kingdom
15240,Customer_213,United Kingdom
18225,Customer_214,United Kingdom
13370,Customer_215,United Kingdom
16883,Customer_216,United Kingdom
13520,Customer_217,Switzerland
12841,Customer_218,United Kingdom
16905,Customer_219,United Kingdom
12427,Customer_220,Germany
17967,Customer_221,United Kingdom
16891,Customer_222,United Kingdom
14589,Customer_223,United Kingdom
14680,Customer_224,United Kingdom
17884,Customer_225,United Kingdom
12557,Customer_226,Spain
14083,Customer_227,United Kingdom
13013,Customer_228,United Kingdom
14210,Customer_229,United Kingdom
16477,Customer_230,United Kingdom
12600,Customer_231,Germany
16013,Customer_232,United Kingdom
17949,Customer_233,United Kingdom
12779,Customer_234,Poland
16926,Customer_235,United Kingdom
17787,Customer_236,United Kingdom
12682,Customer_237,France
14723,Customer_238,United Kingdom
17954,Customer_239,United Kingdom
17819,Customer_240,United Kingdom
12712,Customer_241,Germany
15373,Customer_242,United Kingdom
16140,Customer_243,United Kingdom
17198,Customer_244,United Kingdom
17238,Customer_245,United Kingdom
12793,Customer_246,Portugal
15769,Customer_247,United Kingdom
14396,Customer_248,United Kingdom
14898,Customer_249,United Kingdom
12725,Customer_250,Italy
16725,Customer_251,United Kingdom
12395,Customer_252,Belgium
16455,Customer_253,United Kingdom
13081,Customer_254,United Kingdom
15545,Customer_255,United Kingdom
17243,Customer_256,United Kingdom
15465,Customer_257,United Kingdom
15708,Customer_258,United Kingdom
13089,Customer_259,United Kingdom
16033,Customer_260,United Kingdom
13838,Customer_261,United Kingdom
15351,Customer_262,United Kingdom
18055,Customer_263,United Kingdom
15038,Customer_264,United Kingdom
18109,Customer_265,United Kingdom
13069,Customer_266,United Kingdom
16241,Customer_267,United Kingdom
14800,Customer_268,United Kingdom
16839,Customer_269,United Kingdom
16168,Customer_270,United Kingdom
16931,Customer_271,United Kingdom
16814,Customer_272,United Kingdom
13269,Customer_273,United Kingdom
14813,Customer_274,United Kingdom
